2198
2.07	72459.7	1.02356e+06
2.08	71817.6	1.03925e+06
2.09	71146.1	1.05495e+06
2.1	70445.1	1.07064e+06
2.11	69714.3	1.08632e+06
2.12	68953.8	1.10199e+06
2.13	68163.3	1.11764e+06
2.14	67342.6	1.13328e+06
2.15	66491.8	1.14889e+06
2.16	65610.5	1.16447e+06
2.17	64698.8	1.18001e+06
2.18	63756.5	1.19552e+06
2.19	62783.6	1.21098e+06
2.2	61779.9	1.2264e+06
2.21	60745.4	1.24176e+06
2.22	59680	1.25707e+06
2.23	58583.6	1.27232e+06
2.24	57456.2	1.2875e+06
2.25	56297.7	1.3026e+06
2.26	55108.1	1.31764e+06
2.27	53887.4	1.33259e+06
2.28	52635.5	1.34746e+06
2.29	51352.4	1.36224e+06
2.3	50038.2	1.37692e+06
2.31	48692.8	1.39151e+06
2.32	47316.2	1.40599e+06
2.33	45908.6	1.42036e+06
2.34	44469.8	1.43462e+06
2.35	42999.9	1.44876e+06
2.36	41499	1.46278e+06
2.37	39967.2	1.47667e+06
2.38	38404.4	1.49043e+06
2.39	36810.9	1.50405e+06
2.4	35186.6	1.51753e+06
2.41	33531.6	1.53086e+06
2.42	31846.1	1.54404e+06
2.43	30130.2	1.55706e+06
2.44	28383.9	1.56992e+06
2.45	26607.5	1.58262e+06
2.46	24801	1.59514e+06
2.47	22964.6	1.60749e+06
2.48	21098.4	1.61966e+06
2.49	19202.7	1.63164e+06
2.5	17277.6	1.64343e+06
2.51	15323.2	1.65503e+06
2.52	13339.8	1.66643e+06
2.53	11327.6	1.67762e+06
2.54	9286.7	1.6886e+06
2.55	7217.43	1.69938e+06
2.56	5119.98	1.70993e+06
2.57	2994.59	1.72026e+06
2.58	841.501	1.73037e+06
2.59	-1339.03	1.74024e+06
2.6	-3546.73	1.74987e+06
2.61	-5781.34	1.75927e+06
2.62	-8042.58	1.76842e+06
2.63	-10330.1	1.77732e+06
2.64	-12643.7	1.78597e+06
2.65	-14983.1	1.79436e+06
2.66	-17347.8	1.80248e+06
2.67	-19737.6	1.81034e+06
2.68	-22152.2	1.81793e+06
2.69	-24591.1	1.82524e+06
2.7	-27054.1	1.83228e+06
2.71	-29540.8	1.83903e+06
2.72	-32050.9	1.84549e+06
2.73	-34583.9	1.85166e+06
2.74	-37139.4	1.85754e+06
2.75	-39717.1	1.86311e+06
2.76	-42316.6	1.86839e+06
2.77	-44937.5	1.87335e+06
2.78	-47579.2	1.87801e+06
2.79	-50241.5	1.88235e+06
2.8	-52923.9	1.88637e+06
2.81	-55625.9	1.89007e+06
2.82	-58347.1	1.89345e+06
2.83	-61087.1	1.89649e+06
2.84	-63845.3	1.89921e+06
2.85	-66621.3	1.90158e+06
2.86	-69414.6	1.90362e+06
2.87	-72224.7	1.90532e+06
2.88	-75051.2	1.90667e+06
2.89	-77893.5	1.90768e+06
2.9	-80751.2	1.90833e+06
2.91	-83623.6	1.90863e+06
2.92	-86510.4	1.90857e+06
2.93	-89410.9	1.90815e+06
2.94	-92324.6	1.90737e+06
2.95	-95251	1.90622e+06
2.96	-98189.6	1.90471e+06
2.97	-101140	1.90282e+06
2.98	-104101	1.90056e+06
2.99	-107072	1.89792e+06
3	-110054	1.89491e+06
3.01	-113045	1.89152e+06
3.02	-116044	1.88774e+06
3.03	-119052	1.88359e+06
3.04	-122067	1.87904e+06
3.05	-125089	1.87411e+06
3.06	-128118	1.86878e+06
3.07	-131152	1.86307e+06
3.08	-134191	1.85696e+06
3.09	-137235	1.85046e+06
3.1	-140283	1.84356e+06
3.11	-143333	1.83626e+06
3.12	-146387	1.82856e+06
3.13	-149442	1.82047e+06
3.14	-152499	1.81197e+06
3.15	-155557	1.80307e+06
3.16	-158614	1.79377e+06
3.17	-161671	1.78406e+06
3.18	-164726	1.77394e+06
3.19	-167780	1.76343e+06
3.2	-170831	1.7525e+06
3.21	-173879	1.74117e+06
3.22	-176923	1.72943e+06
3.23	-179962	1.71729e+06
3.24	-182996	1.70473e+06
3.25	-186024	1.69177e+06
3.26	-189045	1.6784e+06
3.27	-192059	1.66463e+06
3.28	-195066	1.65044e+06
3.29	-198063	1.63585e+06
3.3	-201051	1.62085e+06
3.31	-204029	1.60545e+06
3.32	-206997	1.58964e+06
3.33	-209952	1.57342e+06
3.34	-212896	1.5568e+06
3.35	-215827	1.53978e+06
3.36	-218745	1.52236e+06
3.37	-221648	1.50453e+06
3.38	-224537	1.4863e+06
3.39	-227410	1.46768e+06
3.4	-230267	1.44865e+06
3.41	-233107	1.42923e+06
3.42	-235929	1.40942e+06
3.43	-238733	1.38921e+06
3.44	-241518	1.36861e+06
3.45	-244284	1.34763e+06
3.46	-247029	1.32625e+06
3.47	-249753	1.30449e+06
3.48	-252455	1.28235e+06
3.49	-255135	1.25982e+06
3.5	-257792	1.23692e+06
3.51	-260425	1.21364e+06
3.52	-263033	1.18998e+06
3.53	-265617	1.16596e+06
3.54	-268175	1.14156e+06
3.55	-270706	1.11681e+06
3.56	-273211	1.09168e+06
3.57	-275687	1.0662e+06
3.58	-278136	1.04037e+06
3.59	-280555	1.01418e+06
3.6	-282945	987634
3.61	-285304	960747
3.62	-287632	933516
3.63	-289929	905946
3.64	-292193	878040
3.65	-294425	849802
3.66	-296623	821236
3.67	-298787	792345
3.68	-300917	763134
3.69	-303011	733607
3.7	-305069	703768
3.71	-307091	673621
3.72	-309075	643171
3.73	-311022	612422
3.74	-312931	581379
3.75	-314801	550046
3.76	-316631	518428
3.77	-318422	486530
3.78	-320172	454357
3.79	-321881	421913
3.8	-323548	389205
3.81	-325174	356236
3.82	-326757	323012
3.83	-328296	289538
3.84	-329792	255820
3.85	-331244	221863
3.86	-332651	187673
3.87	-334013	153255
3.88	-335330	118615
3.89	-336600	83758.2
3.9	-337824	48690.7
3.91	-339001	13418.4
3.92	-340131	-22052.9
3.93	-341213	-57717.3
3.94	-342246	-93568.5
3.95	-343231	-129601
3.96	-344167	-165808
3.97	-345053	-202183
3.98	-345890	-238720
3.99	-346676	-275414
4	-347412	-312257
4.01	-348096	-349243
4.02	-348730	-386365
4.03	-349311	-423618
4.04	-349841	-460993
4.05	-350319	-498486
4.06	-350744	-536089
4.07	-351116	-573794
4.08	-351435	-611597
4.09	-351700	-649489
4.1	-351912	-687464
4.11	-352070	-725515
4.12	-352173	-763635
4.13	-352222	-801817
4.14	-352217	-840054
4.15	-352157	-878338
4.16	-352041	-916664
4.17	-351871	-955023
4.18	-351645	-993409
4.19	-351363	-1.03181e+06
4.2	-351026	-1.07023e+06
4.21	-350633	-1.10865e+06
4.22	-350183	-1.14708e+06
4.23	-349678	-1.18549e+06
4.24	-349117	-1.22388e+06
4.25	-348499	-1.26225e+06
4.26	-347825	-1.30059e+06
4.27	-347094	-1.33889e+06
4.28	-346307	-1.37714e+06
4.29	-345463	-1.41534e+06
4.3	-344563	-1.45348e+06
4.31	-343606	-1.49156e+06
4.32	-342593	-1.52955e+06
4.33	-341523	-1.56747e+06
4.34	-340396	-1.60529e+06
4.35	-339213	-1.64302e+06
4.36	-337973	-1.68064e+06
4.37	-336677	-1.71815e+06
4.38	-335324	-1.75554e+06
4.39	-333915	-1.7928e+06
4.4	-332450	-1.82993e+06
4.41	-330928	-1.86692e+06
4.42	-329351	-1.90375e+06
4.43	-327718	-1.94044e+06
4.44	-326029	-1.97695e+06
4.45	-324284	-2.0133e+06
4.46	-322484	-2.04947e+06
4.47	-320628	-2.08545e+06
4.48	-318718	-2.12125e+06
4.49	-316752	-2.15684e+06
4.5	-314732	-2.19222e+06
4.51	-312657	-2.22739e+06
4.52	-310528	-2.26234e+06
4.53	-308346	-2.29707e+06
4.54	-306109	-2.33155e+06
4.55	-303819	-2.3658e+06
4.56	-301476	-2.3998e+06
4.57	-299080	-2.43354e+06
4.58	-296631	-2.46701e+06
4.59	-294130	-2.50022e+06
4.6	-291577	-2.53315e+06
4.61	-288973	-2.5658e+06
4.62	-286317	-2.59816e+06
4.63	-283611	-2.63022e+06
4.64	-280854	-2.66198e+06
4.65	-278047	-2.69342e+06
4.66	-275190	-2.72456e+06
4.67	-272284	-2.75537e+06
4.68	-269329	-2.78585e+06
4.69	-266325	-2.81599e+06
4.7	-263274	-2.84579e+06
4.71	-260175	-2.87525e+06
4.72	-257028	-2.90435e+06
4.73	-253836	-2.93309e+06
4.74	-250597	-2.96147e+06
4.75	-247312	-2.98947e+06
4.76	-243983	-3.01709e+06
4.77	-240609	-3.04433e+06
4.78	-237190	-3.07118e+06
4.79	-233728	-3.09764e+06
4.8	-230224	-3.1237e+06
4.81	-226676	-3.14934e+06
4.82	-223087	-3.17458e+06
4.83	-219457	-3.1994e+06
4.84	-215786	-3.2238e+06
4.85	-212074	-3.24777e+06
4.86	-208324	-3.2713e+06
4.87	-204534	-3.2944e+06
4.88	-200706	-3.31706e+06
4.89	-196840	-3.33927e+06
4.9	-192938	-3.36102e+06
4.91	-188999	-3.38232e+06
4.92	-185024	-3.40316e+06
4.93	-181014	-3.42353e+06
4.94	-176970	-3.44343e+06
4.95	-172893	-3.46285e+06
4.96	-168782	-3.48179e+06
4.97	-164639	-3.50026e+06
4.98	-160464	-3.51823e+06
4.99	-156259	-3.53571e+06
5	-152023	-3.5527e+06
5.01	-147758	-3.56919e+06
5.02	-143464	-3.58517e+06
5.03	-139143	-3.60065e+06
5.04	-134794	-3.61562e+06
5.05	-130418	-3.63008e+06
5.06	-126017	-3.64402e+06
5.07	-121591	-3.65744e+06
5.08	-117141	-3.67034e+06
5.09	-112667	-3.68271e+06
5.1	-108171	-3.69456e+06
5.11	-103653	-3.70587e+06
5.12	-99114.2	-3.71665e+06
5.13	-94555	-3.72689e+06
5.14	-89976.3	-3.7366e+06
5.15	-85379.1	-3.74576e+06
5.16	-80764	-3.75438e+06
5.17	-76131.9	-3.76246e+06
5.18	-71483.7	-3.76999e+06
5.19	-66820.2	-3.77697e+06
5.2	-62142.1	-3.7834e+06
5.21	-57450.4	-3.78928e+06
5.22	-52745.8	-3.79461e+06
5.23	-48029.2	-3.79937e+06
5.24	-43301.5	-3.80359e+06
5.25	-38563.4	-3.80724e+06
5.26	-33815.9	-3.81034e+06
5.27	-29059.7	-3.81288e+06
5.28	-24295.8	-3.81486e+06
5.29	-19524.9	-3.81628e+06
5.3	-14748	-3.81713e+06
5.31	-9965.91	-3.81743e+06
5.32	-5179.45	-3.81716e+06
5.33	-389.493	-3.81633e+06
5.34	4403.09	-3.81493e+06
5.35	9197.43	-3.81298e+06
5.36	13992.7	-3.81046e+06
5.37	18788	-3.80738e+06
5.38	23582.4	-3.80374e+06
5.39	28375.2	-3.79953e+06
5.4	33165.4	-3.79477e+06
5.41	37952.3	-3.78945e+06
5.42	42734.8	-3.78356e+06
5.43	47512.2	-3.77712e+06
5.44	52283.6	-3.77012e+06
5.45	57048.2	-3.76256e+06
5.46	61805.1	-3.75445e+06
5.47	66553.3	-3.74579e+06
5.48	71292.2	-3.73658e+06
5.49	76020.8	-3.72681e+06
5.5	80738.5	-3.71651e+06
5.51	85445.5	-3.70571e+06
5.52	90141.4	-3.69444e+06
5.53	94825.5	-3.68267e+06
5.54	99497.2	-3.67043e+06
5.55	104156	-3.65771e+06
5.56	108801	-3.64451e+06
5.57	113432	-3.63083e+06
5.58	118048	-3.61668e+06
5.59	122648	-3.60205e+06
5.6	127233	-3.58695e+06
5.61	131801	-3.57139e+06
5.62	136351	-3.55535e+06
5.63	140884	-3.53885e+06
5.64	145398	-3.52189e+06
5.65	149894	-3.50447e+06
5.66	154369	-3.48659e+06
5.67	158825	-3.46825e+06
5.68	163260	-3.44946e+06
5.69	167673	-3.43022e+06
