t, , ,z,3, , ,v,3, , ,z,5, , ,v,5, , ,P
0	0	0	0	0	7750.51
0.01	2.05252e-05	0.00205252	4.89739e-06	0.000489739	7035.99
0.02	5.96561e-05	0.00391309	1.42333e-05	0.00093359	6708.85
0.03	0.000116487	0.00568305	2.77901e-05	0.00135568	6643.63
0.04	0.000190792	0.00743055	4.55122e-05	0.00177221	6606.91
0.05	0.000282411	0.00916192	6.73584e-05	0.00218462	6589.04
0.06	0.000391221	0.0108809	9.3296e-05	0.00259376	6579.19
0.07	0.000517107	0.0125886	0.000123294	0.00299978	6574.29
0.08	0.000659956	0.014285	0.00015732	0.00340265	6569.44
0.09	0.000819646	0.015969	0.000195341	0.00380202	6567.13
0.1	0.000996049	0.0176402	0.000237318	0.00419773	6566.56
0.11	0.00118903	0.019298	0.000283213	0.00458953	6564.24
0.12	0.00139844	0.0209409	0.000332983	0.00497699	6562.05
0.13	0.00162412	0.0225678	0.000386581	0.00535979	6560.21
0.14	0.00186589	0.0241778	0.000443957	0.00573763	6558.98
0.15	0.0021236	0.0257701	0.00050506	0.00611023	6558.29
0.16	0.00239703	0.027344	0.000569833	0.00647731	6557.78
0.17	0.00268602	0.0288984	0.000638219	0.00683858	6554.36
0.18	0.00299034	0.0304318	0.000710154	0.00719354	6548.48
0.19	0.00330976	0.0319426	0.000785572	0.00754176	6547.88
0.2	0.00364408	0.0334313	0.000864404	0.00788326	6542.13
0.21	0.00399304	0.0348959	0.000946579	0.00821746	6539.31
0.22	0.0043564	0.0363363	0.00103202	0.00854425	6538.21
0.23	0.00473392	0.0377522	0.00112066	0.00886347	6534.12
0.24	0.00512534	0.0391421	0.0012124	0.00917468	6528.77
0.25	0.00553039	0.0405049	0.00130718	0.00947755	6526.81
0.26	0.0059488	0.041841	0.0014049	0.00977204	6522.92
0.27	0.00638029	0.0431492	0.00150548	0.0100578	6519.39
0.28	0.00682458	0.044429	0.00160882	0.0103346	6515.46
0.29	0.00728138	0.0456797	0.00171484	0.0106022	6512.01
0.3	0.00775039	0.046901	0.00182345	0.0108605	6507.22
0.31	0.00823131	0.048092	0.00193454	0.0111091	6504.89
0.32	0.00872384	0.0492529	0.00204802	0.011348	6503.76
0.33	0.00922767	0.0503836	0.00216379	0.0115771	6499.46
0.34	0.0097425	0.0514829	0.00228175	0.011796	6498.72
0.35	0.010268	0.0525514	0.0024018	0.0120047	6496.63
0.36	0.0108039	0.0535884	0.00252383	0.0122032	6493.36
0.37	0.0113498	0.0545933	0.00264774	0.012391	6493.38
0.38	0.0119055	0.0555667	0.00277342	0.0125683	6491.63
0.39	0.0124706	0.0565079	0.00290077	0.0127349	6490.46
0.4	0.0130447	0.0574169	0.00302968	0.0128906	6489.04
0.41	0.0136277	0.0582935	0.00316003	0.0130353	6487.93
0.42	0.0142191	0.0591376	0.00329172	0.0131691	6488.58
0.43	0.0148186	0.0599497	0.00342464	0.0132918	6487.36
0.44	0.0154258	0.0607291	0.00355867	0.0134033	6486.51
0.45	0.0160406	0.061476	0.00369371	0.0135035	6484.78
0.46	0.0166625	0.06219	0.00382963	0.0135924	6486.55
0.47	0.0172912	0.0628722	0.00396633	0.0136702	6487.04
0.48	0.0179265	0.0635224	0.0041037	0.0137366	6485.62
0.49	0.0185679	0.06414	0.00424161	0.0137915	6486.6
0.5	0.0192151	0.0647259	0.00437997	0.0138352	6488.49
0.51	0.0198679	0.0652804	0.00451864	0.0138676	6490.57
0.52	0.020526	0.0658038	0.00465753	0.0138888	6492.59
0.53	0.0211889	0.0662963	0.00479652	0.0138988	6494.8
0.54	0.0218565	0.0667582	0.0049355	0.0138976	6496.77
0.55	0.0225284	0.0671896	0.00507435	0.0138853	6498.81
0.56	0.0232043	0.067591	0.00521297	0.0138619	6500.98
0.57	0.0238839	0.0679626	0.00535124	0.0138275	6504.05
0.58	0.024567	0.068305	0.00548906	0.0137821	6506.31
0.59	0.0252532	0.0686183	0.00562632	0.0137259	6510.14
0.6	0.0259422	0.0689035	0.00576291	0.0136591	6516.03
0.61	0.0266338	0.0691614	0.00589873	0.0135818	6511.92
0.62	0.0273277	0.0693899	0.00603367	0.0134936	6538.89
0.63	0.0280237	0.0695976	0.00616763	0.0133964	6568.52
0.64	0.0287215	0.0697856	0.00630054	0.0132908	6595.8
0.65	0.0294211	0.069954	0.00643231	0.0131765	6608.34
0.66	0.0301221	0.0700991	0.00656283	0.0130529	6620.27
0.67	0.0308243	0.0702215	0.00669203	0.01292	6627.61
0.68	0.0315275	0.0703205	0.00681981	0.0127778	6635.82
0.69	0.0322315	0.0703967	0.00694608	0.0126265	6644.14
0.7	0.032936	0.0704508	0.00707074	0.0124662	6655.06
0.71	0.0336408	0.0704841	0.00719371	0.0122974	6657.08
0.72	0.0343458	0.0704949	0.00731491	0.0121196	6664.02
0.73	0.0350506	0.0704849	0.00743424	0.0119334	6680.2
0.74	0.0357552	0.0704573	0.00755164	0.0117396	6685.22
0.75	0.0364593	0.0704098	0.00766701	0.0115377	6698.72
0.76	0.0371627	0.0703452	0.0077803	0.0113285	6703.06
0.77	0.0378654	0.0702618	0.00789142	0.0111116	6709.61
0.78	0.038567	0.0701607	0.00800029	0.0108875	6716.98
0.79	0.0392674	0.070043	0.00810686	0.0106565	6736.37
0.8	0.0399665	0.0699123	0.00821105	0.0104196	6735.2
0.81	0.0406642	0.069764	0.00831281	0.0101757	6745.35
0.82	0.0413602	0.0696018	0.00841207	0.00992585	6756.67
0.83	0.0420544	0.0694265	0.00850877	0.00967044	6768.23
